身份桥ID,会员ID,会员卡号,手机号Hash,微信OpenID,微信UnionID,企微外部联系人ID,支付渠道用户ID,身份类型,绑定状态,首次出现时间,最近出现时间,匹配置信度,匹配方式
IB00169086,M0047519,C0047519,69eb1caeb988eff824b13747b9cfae3c,,,,,卡号别名,已绑定,2025-12-27,2026-05-18,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169087,M0036594,C0036594,9115a4eb203be3aa0171f0420c492bf5,,,,,卡号别名,已绑定,2025-08-19,2026-04-28,1.0,同系统直连(会员卡+手机)
IB00169088,M0020833,C0020833,2a6718136921bd5a344b7f18fe855712,oABCsub0c8fdde78b9e9189a190,,,,OpenID副,已绑定,2025-08-09,2026-04-20,0.85,UnionID+手机Hash命中
IB00169089,M0038869,C0038869,b50cfaaeafc91b1b8a8904b3d6c10c23,oABCsub2213c45ec1bc229264eb,,,,OpenID副,已绑定,2025-05-16,2026-04-18,0.85,UnionID+手机Hash命中
IB00169090,M0073635,C0073635,6e58cc4e705d6f1f72aec1b1b0b154f0,oABCsubcee88cbb8c6b8dfe9508,uXYZ009fd33fd57991827805,,,UnionID,已绑定,2025-03-31,2026-05-15,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169091,M0074461,C0074461,d1d5f467dbe5441bc07e56bb90dca526,oABCsubb8404cf40e38fe994d69,,,,OpenID副,已绑定,2025-11-25,2026-05-07,0.85,UnionID+手机Hash命中
IB00169092,M0046597,,9c1a862e85cff639e91ebff879583aa2,,,,,卡号别名,待匹配,2025-10-14,2026-05-14,0.5,仅UnionID/OpenID命中
IB00169093,M0079993,C0079993,c25c9ef768a66fe4468dfb0b94b5dae2,oABCsub74ad92adb21020e1dc13,,,,OpenID副,已绑定,2025-04-07,2026-05-05,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169094,,,7511fa87697e1790740a6c356680e0ca,oABCsubc3ab73aa7f9a10fa5736,uXYZb146e8f505d03fa50144,,,UnionID,已失效,2025-06-03,2026-05-16,0.3,仅设备指纹/临时匿名
IB00169095,M0048544,C0048544,019db68b25e19b78b8752645af9b61f2,,,,pay28a90df68d375fbcbded,支付渠道,已绑定,2025-10-06,2026-03-26,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169096,M0022306,C0022306,2c6c26832735acc90ad8c372c92a279e,,,,,卡号别名,已绑定,2026-01-06,2026-04-14,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169097,M0059073,C0059073,c3b5cfef547db624a44e563c61269848,,,ext1f02349ace61cf0c6550,,企微外部,已绑定,2025-11-15,2026-05-18,0.85,UnionID+手机Hash命中
IB00169098,M0064613,C0064613,76896204948a6fc63a0225a3ef4feeb3,oABCsubbdf4ef9044efce0bba52,uXYZ3bd2110af23a55ad9037,,,UnionID,已绑定,2025-08-14,2026-04-17,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169099,M0059268,C0059268,a41007bb44f672a6b7f9b787c2e5c6d9,,,,payfb176ff9b1e5e197b410,支付渠道,已绑定,2026-01-25,2026-04-05,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169100,M0044008,C0044008,cdf47fecbc80498049e296956e8d34ef,oABCsub731005086f4515d43bf9,uXYZ3e47cb54b7e421323765,,,UnionID,已绑定,2025-03-14,2026-04-07,1.0,同系统直连(会员卡+手机)
IB00169101,M0045924,C0045924,d4f4f8da0a9f8dc6f8c51a9a0b070685,oABCsubf4ecd3860cb06de89e4e,,,,OpenID副,已绑定,2025-09-13,2026-05-05,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169102,M0074407,C0074407,a33a2696cbd03910d178019a78fab885,oABCsubb321a7612a0ef8443319,,,,OpenID副,已绑定,2026-01-04,2026-04-13,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169103,M0023938,C0023938,5ae3a32f75ce72238f09a989c506461c,oABCsub2283a9f4eab04b9317ce,,,,OpenID副,已绑定,2025-08-11,2026-05-11,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169104,M0067928,C0067928,52d96bcc12ec808732903bbe77023c79,,,,paya7bc3c9350047d175fa8,支付渠道,已绑定,2025-03-03,2026-05-15,1.0,同系统直连(会员卡+手机)
IB00169105,M0031574,C0031574,3c288186136f47fda99c4de60c16527e,,,,,卡号别名,已绑定,2025-11-23,2026-05-02,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169106,M0036227,C0036227,9efe8020d05375eb3e8139995f6fa50d,,,,,卡号别名,已绑定,2026-01-19,2026-04-25,1.0,同系统直连(会员卡+手机)
IB00169107,M0046043,C0046043,4bd6cfdd68b1c55d75a6df5c0b74d220,,,,,卡号别名,已绑定,2025-02-27,2026-03-24,0.85,UnionID+手机Hash命中
IB00169108,M0011716,C0011716,450403879f3752be9170b7a7ed7faf35,oABCsube8092bc6a89446f2656a,,,,OpenID副,已绑定,2025-03-30,2026-04-12,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169109,M0027571,C0027571,3a5ae90fbec8bd9625408db46685c131,,,,pay25f74d4424f6079b0486,支付渠道,已绑定,2026-01-22,2026-04-16,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169110,M0020501,C0020501,41a7d7f983ab948b10b174ec133277e5,oABCsub50011d76a7a43f82f421,,,,OpenID副,已绑定,2025-12-26,2026-03-23,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169111,M0061232,,15f5949489ad68c30ae116226b3657b9,,,ext9cc77008190932ee674e,,企微外部,待匹配,2025-07-03,2026-05-05,0.7,仅手机Hash命中(有消费记录)
IB00169112,M0078728,C0078728,ea69278e6d5a195aa64a95225e02bdb4,,,,,卡号别名,已绑定,2025-04-27,2026-04-29,1.0,同系统直连(会员卡+手机)
IB00169113,M0059007,C0059007,9ff965299e8d3c00085cd0511b61e4be,,,ext3d33aedf41575c4b3f3d,,企微外部,已绑定,2025-06-15,2026-04-22,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169114,M0062323,,b7bbecd543f8bc0b4a990be712568651,oABCsubda774616740f6956e363,uXYZa749fed9de2e647d6e16,,,UnionID,待匹配,2025-12-24,2026-04-13,0.7,仅手机Hash命中(有消费记录)
IB00169115,M0052033,,3e1698d27f468a7bc870bd2730212ac8,,,ext8229e15e7d067ed2d493,,企微外部,待匹配,2025-08-14,2026-04-10,0.5,仅UnionID/OpenID命中
IB00169116,M0059028,C0059028,624d481148dc0ba397f0b6a23cdced05,,,,pay0f84df8d89fa32c9d1dd,支付渠道,已绑定,2025-03-25,2026-05-09,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169117,M0071120,C0071120,b38ebd29d02a00892b8746a34eaff82d,oABCsub37884a9b7545c7da97f1,uXYZ85c30eb637053159f32f,,,UnionID,已绑定,2025-05-18,2026-05-09,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169118,M0061762,C0061762,4fb5db4f8d0e76a6b36eb8d84682c607,oABCsub80436430de6e4b815b77,,,,OpenID副,已绑定,2025-03-05,2026-04-08,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169119,M0028895,C0028895,5c16420b11321f8f73e1fb1aa9732dce,,,,,卡号别名,已绑定,2025-04-21,2026-05-17,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169120,M0045263,C0045263,0c85efad6a43a7edec1239b7645eca20,,,ext9ef906ef1014190ae7c8,,企微外部,已绑定,2025-07-09,2026-05-05,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169121,M0066733,C0066733,65f6da92d6fa577f6c7080eac36506f0,,,ext8cce206e9d9b446fe8cb,,企微外部,已绑定,2025-04-05,2026-04-16,0.85,UnionID+手机Hash命中
IB00169122,M0067829,C0067829,9cf6669b5636f630db6ac8a0e670f791,,,ext0b6cadc8b05a0f5ff0f7,,企微外部,已绑定,2025-10-26,2026-04-04,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169123,M0018831,C0018831,d6a715ea73cf2d475c1367f3dd7419aa,oABCsubcf33c29b92d61cb822bd,uXYZddd22ed0d5a8448e35af,,,UnionID,已绑定,2025-06-05,2026-04-01,0.85,UnionID+手机Hash命中
IB00169124,M0018488,C0018488,fe4c865d360e81a5a8c1712d50648f6f,oABCsubc7d3fdcebf84e12dd609,,,,OpenID副,已绑定,2025-04-06,2026-04-25,1.0,同系统直连(会员卡+手机)
IB00169125,M0007143,C0007143,543b8e6115fae75bf9ad2c4df008a795,,,extc545e57ac3e9dcbaa682,,企微外部,已绑定,2025-09-30,2026-03-25,0.85,UnionID+手机Hash命中
IB00169126,M0072064,C0072064,fce1411f4d46466cff73a610b26be405,,,,,卡号别名,已绑定,2025-05-11,2026-05-20,1.0,同系统直连(会员卡+手机)
IB00169127,M0008693,,2802b1f346161ccc7904dafad6db7d67,,,,,卡号别名,待匹配,2025-07-11,2026-05-18,0.7,仅手机Hash命中(有消费记录)
IB00169128,M0040792,C0040792,16e18482b87d6dcad6ccbe57479c0c22,oABCsub71d4e80f9faa3549a84e,,,,OpenID副,已绑定,2025-11-27,2026-05-10,1.0,同系统直连(会员卡+手机)
IB00169129,M0023562,C0023562,6e9130ad00d26ef0f20f76f7da47da96,,,,,卡号别名,已绑定,2025-06-04,2026-04-22,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169130,M0003354,C0003354,1807745b0d24025e7399baaef0b9a16f,,,,,卡号别名,已绑定,2025-11-16,2026-03-23,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169131,M0034981,C0034981,5f64cccf5545f858d6f8162c7f6a9680,,,,,卡号别名,已绑定,2025-04-14,2026-04-23,1.0,同系统直连(会员卡+手机)
IB00169132,M0058150,C0058150,f97fcd94d440d4c3bc3e482892a4160e,,,,,卡号别名,已绑定,2025-11-07,2026-04-15,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169133,M0024284,C0024284,e907b91926eeb432e9f9a28a58818834,oABCsuba24c6e589944e8cd89f6,uXYZ0e3b4f30ea0a260d17fe,,,UnionID,已绑定,2025-12-01,2026-04-07,0.85,UnionID+手机Hash命中
IB00169134,M0072605,C0072605,3f3afa3f8eb057739ac8ba4395169a24,oABCsuba0f4b32a4814a924bd1e,,,,OpenID副,已绑定,2025-11-08,2026-05-08,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169135,M0045052,C0045052,d76f60e26b7d3f15f9c68cd931ae9ba9,,,,,卡号别名,已绑定,2025-06-12,2026-03-23,0.85,UnionID+手机Hash命中
IB00169136,M0027213,,43da24c166a4464e9a250c53735d3f0f,,,,,卡号别名,待匹配,2025-11-22,2026-04-11,0.7,仅手机Hash命中(有消费记录)
IB00169137,M0064527,,980779c8d5f2c019c16ffb960eaa5683,oABCsubb8face084ffdf5401df2,,,,OpenID副,待匹配,2025-12-04,2026-04-10,0.7,仅手机Hash命中(有消费记录)
IB00169138,M0074135,,5ed1d03e5058df07a5ce4958c9a177c5,oABCsub38fb1df2511d6aac4edd,,,,OpenID副,待匹配,2025-12-19,2026-05-18,0.5,仅UnionID/OpenID命中
IB00169139,M0020941,,5c863f71f44f1a58a54cd74f8827d215,,,extbd5d9a8186733a60420d,,企微外部,待匹配,2025-05-11,2026-04-08,0.7,仅手机Hash命中(有消费记录)
IB00169140,M0071284,C0071284,36465c68fe9ffa57b72b95722b07a31b,,,,pay14bb3edcc6688e245254,支付渠道,已绑定,2026-01-02,2026-05-02,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169141,M0068629,C0068629,75d2e08bb60ff4a6773c2ac7c22cea51,,,,,卡号别名,已绑定,2025-10-01,2026-05-05,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169142,M0058337,,649215aa5a9475a5ee6032c4c4ebf625,,,,,卡号别名,待匹配,2026-02-17,2026-03-25,0.7,仅手机Hash命中(有消费记录)
IB00169143,M0011371,C0011371,8e484ca03c993245f801d626e488a3ae,oABCsubfd777d399e38e01b6e61,,,,OpenID副,已绑定,2025-03-28,2026-05-06,1.0,同系统直连(会员卡+手机)
IB00169144,M0078706,C0078706,37953a400c0acb891760773616407860,,,,pay44d00e1600b311a81163,支付渠道,已绑定,2025-05-02,2026-04-25,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169145,M0018042,C0018042,79c978e2a34f3d8462e0762b595d8032,,,ext82cb81a918a42f136a60,,企微外部,已绑定,2025-04-20,2026-04-16,0.85,UnionID+手机Hash命中
IB00169146,M0034390,,7f584abd4fc488a224bdb7844543bdc2,,,extb4275c1fa1b4f9344f93,,企微外部,待匹配,2025-09-22,2026-04-23,0.7,仅手机Hash命中(有消费记录)
IB00169147,M0065170,,4974c4aacd71540a60f188250f3372f0,,,,,卡号别名,待匹配,2025-11-11,2026-05-17,0.7,仅手机Hash命中(有消费记录)
IB00169148,M0063842,C0063842,9eee985042afe55c48d92ff000f81a42,oABCsub32faffc2de0895ebf030,uXYZba500a8abf7d9d21bd60,,,UnionID,已绑定,2025-05-26,2026-03-30,0.85,UnionID+手机Hash命中
IB00169149,M0039400,,505625fa50577e73fc10f7ca8d7b932d,oABCsubfc03d137ada6b843b3ca,,,,OpenID副,待匹配,2025-03-08,2026-04-22,0.5,仅UnionID/OpenID命中
IB00169150,M0040584,C0040584,4a115d73be227fd990fae4f54d104fb4,,,,pay1fc639d5084e2d7ae923,支付渠道,已绑定,2025-04-17,2026-05-02,0.85,UnionID+手机Hash命中
IB00169151,M0025555,C0025555,93c6b7198966db9d274e3a2233b5c770,oABCsuba059c211c0465c0d05eb,uXYZace70faed7e6d1dc63ed,,,UnionID,已绑定,2025-09-12,2026-04-02,1.0,同系统直连(会员卡+手机)
IB00169152,M0011355,C0011355,3ba93d4686f2735ce53827f3d84041fb,oABCsub301ac4c0dd89e285dc54,,,,OpenID副,已绑定,2026-01-10,2026-03-30,0.85,UnionID+手机Hash命中
IB00169153,M0079110,C0079110,8cc86d163ef41d39b09b09b0565dea77,,,,pay8702c4eda8c972e24235,支付渠道,已绑定,2025-08-21,2026-04-11,0.85,UnionID+手机Hash命中
IB00169154,M0054631,,55f6410c7ccb5a29f461408c6ac9a7df,,,,payf893c8c879055b3b69d6,支付渠道,待匹配,2026-02-02,2026-05-02,0.7,仅手机Hash命中(有消费记录)
IB00169155,M0065234,,cc7ea94c3fb428796be352af85e50e44,,,,,卡号别名,待匹配,2025-03-09,2026-04-03,0.7,仅手机Hash命中(有消费记录)
IB00169156,M0038858,,a5dd16b2e09173c84fa8c92df0383836,oABCsuba7924552abbd1458c4c5,uXYZe5221c1c9fb39c9ffae6,,,UnionID,待匹配,2025-08-08,2026-05-14,0.5,仅UnionID/OpenID命中
IB00169157,M0024385,,c335db1fba5426a5aa7e4e23df8cb332,,,,pay16119cfc34ad4d700bdb,支付渠道,待匹配,2026-02-13,2026-03-31,0.7,仅手机Hash命中(有消费记录)
IB00169158,M0079230,C0079230,a373d5e574f9fe3fbb34bcbd22b3db18,oABCsub2d4bf76a6b2229de76fe,uXYZ63f3bb58254c13548eb2,,,UnionID,已绑定,2025-02-22,2026-04-18,0.95,跨系统强匹配(会员卡+手机双重命中)
IB00169159,M0027318,C0027318,c6219b447acd83c61801ff080d7f7633,,,ext1377b259d0a20df767e7,,企微外部,已绑定,2025-12-23,2026-03-31,1.0,同系统直连(会员卡+手机)
IB00169160,M0013104,C0013104,5525b62820dd9e1cde03047aad630450,,,,pay95e37d0eaeebbd5b700d,支付渠道,已绑定,2025-05-31,2026-04-20,1.0,同系统直连(会员卡+手机)
IB00169161,M0031430,,a8d8210306f814333efddff14208d6d1,oABCsub36327c5873130c58f81c,uXYZbbe4496a07b8a8645374,,,UnionID,待匹配,2025-02-23,2026-04-28,0.5,仅UnionID/OpenID命中
